Task ID,Name,Category,Score (1-10),Active
,🎤 Organized meetup,Events,10,1
,🎙️ Gave a talk about us,Events,10,1
,👨‍💻 Released a library or plugin (frontend interaction),Open Source,10,1
,🏵 Starting a Outcome or City working group,Open Source,10,1
,📚 Wrote blog post for Govrn (for community publication),Content,9,1
,🧰 Built and shared a project or research,Content,9,1
,🧙‍♂️ Summon a DAO,Product,9,1
,✏️ Wrote a blog post about Govrn (for external publication),Content,9,1
,📩 Submit a Proposal,Product,8,1
,🗳 Vote on a Proposal,Product,8,1
,📝Submit Govrn Improvement Proposal,Open Source,8,1
,🏗 Build new GovrnDAO Project (using fork),Open Source,8,1
,🍕 Attended a meetup,Events,7,1
,✍️ Contributed to our White Paper/Documentation,Open Source,7,1
,💻 Pull request merged,Open Source,6,1
,#️⃣ Joined Slack/Discord,Community,6,1
,🤓 Answered forum question,Community,6,1
,🆘 Successful support interaction,Product,6,1
,🏦 Make an Outcome-Based Donation,Product,6,1
,🌱 Starting using new feature,Product,6,1
,📞 Attended Community Call,Community,6,1
,🍴 Fork GovrnDAO,Open Source,6,1
,💻 Opened pull request,Open Source,5,1
,🏠 Setup Govrn Account,Product,5,1
,🤙 Joined Community via form,Community,5,1
,🎳 Posted about us in external/private forum,Social,5,1
,🗣 Tweeted about us,Social,4,1
,👕 Received swag,Swag,4,1
,🙋‍♂️ Gave product feedback,Product,4,1
,📋 Opened issue,Open Source,4,1
,🙋‍♀️ Created forum topic,Community,4,1
,⌨️ Started Slack/Discord conversation,Community,3,1
,🔮 Participated in Discovery Call,Community,3,1
,🐦 Retweeted our tweet,Social,2,1
,🤝 Warm Intro (if it results in additional community value creation),Community,2,1
,⭐ Starred Repo,Open Source,1,1
,"💌 Joined mailing list (incld. Govrnance, Community Newsletter, Govrn Updates)",Content,1,1
,🐦 Followed us on twitter,Social,1,1
